id_j;edad;altura;pie_habil;nacionalidad;nombre;valor_mercado_en_miles;id_club;posicion
1205;31;1,72;derecho;Colombia;Michael Ortega;950;107;Mediocentro ofensivo
1206;22;1,77;derecho;Colombia;Yeison Tolosa;800;107;Mediocentro ofensivo
1207;19;1,78;derecho;Colombia;Daniel Luna;800;107;Mediocentro ofensivo
1208;27;1,72;derecho;Colombia;Santiago Mosquera;800;107;Extremo izquierdo
1209;27;1,76;derecho;Colombia;Jhon Vásquez;150;107;Extremo derecho
1210;27;1,84;derecho;Colombia;Yony González;990;107;Extremo derecho
1211;19;1,79;derecho;Colombia;Duvan Mina;600;107;Extremo derecho
1212;30;1,85;derecho;Argentina  ;Agustín Vuletich;150;107;Delantero centro
1213;33;1,82;derecho;Colombia;Ángelo Rodríguez;280;107;Delantero centro
1214;36;1,77;derecho;Colombia;Teófilo Gutiérrez;950;107;Delantero centro
1215;23;1,75;derecho;Colombia;Jefferson Ramos;800;107;Delantero centro
1216;22;1,88;derecho;Colombia;Carlos Lucumí;800;107;Delantero centro
1217;38;1,82;derecho;Colombia;Leandro Castellanos;800;108;Portero
1218;27;1,9;derecho;Colombia;José Silva;150;108;Portero
1219;22;1,87;derecho;Colombia;Juan Espitia;990;108;Portero
1220;30;1,84;derecho;Colombia;Francisco Meza;600;108;Defenza central
1221;23;1,81;derecho;Colombia;José Ortiz;700;108;Defenza central
1222;28;1,89;derecho;Colombia;Jerson Malagón;600;108;Defenza central
1223;21;1,9;izquierdo;Colombia;Alejandro Moralez;100;108;Defenza central
1224;33;1,94;derecho;Colombia;Javier López;200;108;Defenza central
1225;27;1,92;derecho;Colombia;Alejandro Gutiérrez;900;108;Defenza central
1226;18;1,85;izquierdo;Colombia;Kevin Mantilla;250;108;Defenza central
1227;29;1,82;izquierdo;Colombia;Dairon Mosquera;200;108;Lateral izquierdo
1228;23;1,7;derecho;Colombia;Edwin Herrera;120;108;Lateral izquierdo
1229;30;1,74;derecho;Colombia;Harold Gómez;400;108;Lateral derecho
