id_jugador;partidos_jugados;partidos_en_alineacion;puntos_por_partido;goles;autogoles;entra_sustituto;sustituido;amarillas;doble_amarilla;rojas;goles_concedidos;porterias_a_cero;minutos_jugados;asistencias;id_estadisticas_jugador
1481;8;7;1;0;0;0;6;1;0;0;0;0;181;4;880
1482;13;11;1;0;0;0;2;9;2;0;0;0;619;4;881
1483;12;12;1;2;1;0;0;10;2;0;0;0;847;4;882
1484;7;4;1;0;0;0;4;0;0;0;0;0;26;4;883
1485;10;10;2;2;0;0;4;6;2;0;0;0;457;4;884
1486;11;11;1;1;0;0;5;6;1;0;0;0;632;4;885
1487;8;8;1;0;0;0;5;2;1;0;0;0;321;4;886
1488;15;15;1;8;2;0;0;8;3;0;0;2;1;4;887
1489;3;3;1;0;0;0;3;0;1;0;0;0;35;4;888
1490;13;12;1;1;0;0;11;1;1;0;0;0;195;4;889
1491;18;6;2;0;0;0;0;0;1;0;4;2;531;4;890
1492;15;13;1;0;0;0;0;2;0;0;15;5;1;4;891
1493;5;0;32;0;0;0;0;0;0;0;0;0;1024;4;892
1494;14;14;2;0;0;0;0;0;6;0;1;0;1;4;893
1495;16;14;2;0;0;0;4;0;4;0;0;0;978;4;894
1496;6;4;2;0;0;0;1;0;1;0;0;0;270;4;895
1497;11;9;2;0;0;0;7;1;1;0;0;0;221;4;896
1498;1;1;33;0;0;0;0;0;0;0;0;0;90;4;897
1499;14;14;2;0;3;0;3;2;0;0;0;0;1;4;898
1500;15;13;1;0;0;0;3;0;1;0;0;0;980;4;899
1501;19;19;2;2;2;0;0;2;2;0;0;1;2;4;900
1502;11;10;1;0;0;0;3;3;5;0;0;0;648;4;901
1503;3;3;1;0;0;0;0;1;1;0;0;0;235;4;902
1504;2;2;2;0;0;0;1;1;0;0;0;0;71;4;903
1505;18;18;2;1;0;0;0;3;7;0;0;0;2;4;904
1506;19;19;2;5;2;0;1;10;5;0;0;0;1;4;905
1507;22;66;56;1;0;0;8;19;19;0;22;2;4;1;906
1508;11;4;1;0;0;0;4;0;1;0;0;0;80;4;907
1509;17;16;2;1;0;0;2;10;5;0;0;0;1;4;908
1510;8;4;1;0;0;0;4;0;0;0;0;0;48;4;909
1511;23;27;15;1;2;0;7;9;0;0;23;3;621;1;910
1512;12;12;1;1;2;0;2;3;2;0;0;0;937;4;911
1513;12;12;1;1;2;0;2;3;2;0;0;0;937;4;912
1514;12;12;1;1;2;0;2;3;2;0;0;0;937;4;913
1515;1;1;3;0;0;0;1;0;0;0;0;0;4;4;914
1516;7;7;2;0;1;0;5;2;1;0;0;0;272;4;915
1517;15;15;1;0;0;0;7;7;2;0;0;0;763;4;916
1518;7;6;1;0;1;0;3;3;1;0;0;0;279;4;917
1519;17;16;1;1;1;0;1;14;1;0;0;0;1;4;918
1520;10;9;1;1;1;0;8;2;2;0;0;0;262;4;919
1521;16;16;2;5;1;0;1;15;2;0;0;3;1;4;920
1522;14;13;2;3;0;0;9;4;3;0;0;0;462;4;921
1523;11;10;2;0;0;0;10;0;1;0;0;0;204;4;922
1524;4;3;2;0;0;0;2;1;0;0;0;0;85;4;923
1525;19;18;1;0;0;0;0;2;0;0;20;5;2;4;924
1526;19;1;34;0;0;0;0;0;0;0;3;0;90;4;925
1527;14;5;1;0;0;0;1;0;2;0;0;0;369;4;926
1528;16;16;1;0;1;0;0;1;10;0;0;0;1;4;927
1529;15;14;1;0;0;0;2;0;6;0;0;0;1;4;928
1530;12;7;1;0;0;0;1;3;2;0;0;0;476;4;929
1531;24;22;20;2;0;0;2;3;9;1;24;4;2;2;930
1532;13;12;1;0;0;0;3;1;2;0;0;0;848;4;931
1533;18;16;1;1;0;0;4;0;5;0;0;0;1;4;932
1534;18;17;1;0;0;0;0;2;3;0;0;0;1;4;933
1535;6;5;0;0;1;0;3;1;0;0;0;0;243;4;934
1536;6;5;0;0;1;0;3;1;0;0;0;0;243;4;935
1537;15;15;1;0;1;0;0;6;1;0;0;0;1;4;936
1538;14;4;2;1;0;0;4;0;0;0;0;0;18;4;937
1539;2;2;35;0;0;0;1;1;0;0;0;0;107;4;938
1540;8;8;1;0;1;0;1;2;3;0;0;0;622;4;939
1541;12;12;1;1;1;0;0;1;1;0;0;0;1;4;940
1542;15;12;1;0;1;0;6;5;1;0;0;0;534;4;941
1543;5;2;36;0;0;0;2;0;2;0;0;0;37;4;942
1544;17;15;1;0;0;0;3;8;6;0;0;0;981;4;943
1545;17;15;1;0;0;0;3;8;6;0;0;0;981;4;944
1546;9;6;1;0;0;0;6;0;0;0;0;0;88;4;945
1547;2;0;37;0;0;0;0;0;0;0;0;0;1025;4;946
1548;12;12;1;1;0;0;6;7;0;0;0;0;545;4;947
1549;18;18;1;3;0;0;0;1;1;0;0;1;2;4;948
1550;14;13;1;0;2;0;9;4;0;0;0;0;495;4;949
1551;1;0;38;0;0;0;0;0;0;0;0;0;1026;4;950
1552;1;0;39;0;0;0;0;0;0;0;0;0;1027;4;951
1553;19;19;1;5;0;0;5;10;0;0;0;0;1;4;952
1554;16;15;1;2;1;0;2;10;3;0;0;0;1;4;953
1555;7;6;1;0;0;0;6;0;0;0;0;0;24;4;954
1556;1;0;40;0;0;0;0;0;0;0;0;0;1028;4;955
1557;4;0;41;0;0;0;0;0;0;0;0;0;1029;4;956
1558;16;16;1;0;0;0;0;1;0;1;22;4;1;4;957
1559;18;4;1;0;0;1;0;1;0;0;3;1;270;4;958
1560;6;6;0;0;1;0;5;0;0;0;0;0;241;4;959
1561;1;0;42;0;0;0;0;0;0;0;0;0;1030;4;960
1562;19;19;1;1;0;0;0;0;1;0;0;0;2;4;961
1563;19;19;1;1;0;0;0;0;1;0;0;0;2;4;962
